FSC.H,SSC.H,FL1.H,FL2.H,FL3.H,FL4.H,label
285,156,129.642852783203,278.142852783203,119.268028259277,354.2392578125,4
205,138,60.1071434020996,14.1428575515747,87.2992782592773,239.379852294922,4
64,31,0.0,148.5,92.217544555664,182.486877441406,4
289,147,157.928573608398,18.8571434020996,735.28125,260.848907470703,4
69,184,0.0,116.678573608398,185.664657592773,0.0,4
113,254,12.9642858505249,0.0,98.3653869628906,86.9496307373047,4
91,59,0.0,84.8571395874023,167.221160888672,274.803771972656,4
170,102,0.0,82.5,8.60697078704834,111.639038085938,4
135,58,34.1785697937012,90.75,73.774040222168,230.792236328125,4
393,313,307.607147216797,420.75,256.979553222656,340.284362792969,2
267,107,623.464294433594,45.9642868041992,545.927856445312,243.67366027832,1
105,45,0.0,0.0,68.8557662963867,60.1133270263672,4
222,82,562.178588867188,0.0,704.542053222656,317.741882324219,1
201,95,142.607147216797,594.0,677.491577148438,656.952758789062,3
312,189,122.571426391602,255.75,125.415863037109,309.154235839844,4
312,141,111.964286804199,7.07142877578735,189.353363037109,375.708282470703,4
499,231,462.0,299.357147216797,576.667053222656,356.386138916016,1
74,46,0.0,0.0,0.0,171.752365112305,4
64,43,280.5,0.0,83.610580444336,293.052459716797,2
75,35,15.3214282989502,121.392860412598,19.6730766296387,119.153198242188,4
101,36,128.464279174805,226.285720825195,191.8125,267.289611816406,4
347,93,0.0,0.0,183.205535888672,338.137451171875,4
265,56,464.357147216797,231.0,563.141845703125,218.984252929688,1
68,142,0.0,127.285713195801,0.0,272.656860351562,4
217,135,53.0357131958008,133.178573608398,84.8401412963867,182.486877441406,4
203,110,150.857147216797,0.0,113.120193481445,157.797485351562,4
211,264,308.785705566406,319.392852783203,248.372589111328,395.030426025391,2
130,35,124.928573608398,0.0,156.155044555664,0.0,4
153,164,0.0,90.75,0.0,225.42497253418,4
359,138,53.0357131958008,213.321426391602,0.0,334.917114257812,4
326,87,583.392883300781,57.75,604.947143554688,0.0,1
307,236,287.571441650391,299.357147216797,33.1983184814453,333.843658447266,2
241,87,153.214279174805,0.0,118.038459777832,247.967468261719,4
87,58,0.0,0.0,134.022842407227,176.046173095703,4
116,136,50.6785697937012,43.6071434020996,62.7079315185547,324.182586669922,4
189,70,4.7142858505249,49.5,167.221160888672,100.904510498047,4
107,139,4.7142858505249,0.0,29.509614944458,153.503677368164,4
363,135,288.75,207.428573608398,165.991592407227,349.945434570312,2
253,135,10.6071424484253,179.142852783203,238.536056518555,373.561370849609,4
155,53,93.1071395874023,162.642852783203,138.941101074219,261.92236328125,4
77,39,22.3928565979004,0.0,56.5600967407227,282.317932128906,4
60,62,0.0,132.0,18.443510055542,84.8027267456055,4
186,51,43.6071434020996,152.035720825195,0.0,93.3903427124023,4
163,77,245.142852783203,0.0,282.800476074219,320.962219238281,2
156,79,174.428573608398,208.607147216797,134.022842407227,130.961181640625,4
223,123,0.0,221.571426391602,0.0,148.136413574219,4
76,43,0.0,0.0,0.0,222.204620361328,4
104,39,0.0,38.8928565979004,138.941101074219,134.181533813477,4
211,90,555.107116699219,144.964279174805,704.542053222656,141.695693969727,1
90,49,57.75,80.1428604125977,122.956733703613,0.0,4
186,99,188.571426391602,459.642852783203,620.931518554688,640.851013183594,3
216,102,0.0,182.678573608398,110.661056518555,239.379852294922,4
155,71,89.5714263916016,220.392852783203,206.567306518555,217.91081237793,4
244,117,61.2857131958008,117.857139587402,185.664657592773,161.017837524414,4
348,152,45.9642868041992,162.642852783203,212.715148925781,0.0,4
173,141,0.0,215.678573608398,131.563705444336,206.102828979492,4
201,94,78.9642868041992,187.392852783203,143.859375,128.814270019531,4
274,117,56.5714302062988,169.714279174805,140.170669555664,285.538299560547,4
311,119,128.464279174805,544.5,574.207946777344,684.862548828125,3
121,50,185.035720825195,254.571426391602,111.890625,334.917114257812,4
184,127,7.07142877578735,152.035720825195,0.0,310.227691650391,4
66,192,0.0,248.678573608398,0.0,304.860443115234,4
310,75,575.142883300781,157.928573608398,676.262023925781,215.763900756836,1
245,74,107.25,0.0,202.878601074219,234.012588500977,4
196,98,99.0,0.0,0.0,229.718780517578,4
335,143,0.0,618.75,693.475952148438,718.139587402344,3
283,180,152.035720825195,288.75,145.088943481445,329.549835205078,4
439,93,598.714294433594,0.0,613.554077148438,324.182586669922,1
78,41,0.0,14.1428575515747,0.0,289.832122802734,4
171,95,576.321411132812,0.0,738.969970703125,183.560333251953,1
92,160,56.5714302062988,0.0,145.088943481445,293.052459716797,4
90,92,0.0,162.642852783203,29.509614944458,298.419738769531,4
207,119,102.535713195801,546.857116699219,740.199523925781,734.241333007812,3
96,78,0.0,74.25,29.509614944458,269.4365234375,4
106,66,119.035713195801,218.035720825195,147.548080444336,283.391387939453,4
94,143,47.1428565979004,27.1071434020996,0.0,319.888763427734,4
107,172,232.178573608398,67.1785736083984,170.909851074219,209.323196411133,2
398,212,0.0,147.321426391602,225.010818481445,261.92236328125,4
158,94,100.178573608398,139.071426391602,25.8209133148193,290.905548095703,4
430,132,96.6428604125977,203.892852783203,39.3461532592773,147.062957763672,4
487,487,308.785705566406,353.571441650391,384.854553222656,330.623291015625,2
257,106,109.607139587402,126.107139587402,46.7235565185547,312.374603271484,4
320,145,539.785705566406,149.678573608398,682.409851074219,19.3221397399902,1
138,50,100.178573608398,21.2142848968506,0.0,202.882476806641,4
236,143,143.785720825195,77.7857131958008,95.90625,216.837356567383,4
325,93,121.392860412598,127.285713195801,213.944717407227,249.040924072266,4
144,145,43.6071434020996,0.0,12.2956733703613,270.509979248047,4
172,90,66.0,503.25,647.981994628906,620.455383300781,3
194,90,0.0,100.178573608398,78.6923065185547,273.730316162109,4
133,189,0.0,121.392860412598,89.758415222168,203.955932617188,4
244,128,0.0,188.571426391602,27.050479888916,279.097595214844,4
115,71,4.7142858505249,0.0,201.649032592773,90.1699905395508,4
173,118,58.9285697937012,482.035705566406,650.441101074219,694.523620605469,3
159,64,120.214286804199,63.6428565979004,108.201919555664,227.571884155273,4
165,227,55.3928565979004,0.0,13.525239944458,30.0566635131836,4
233,80,81.3214263916016,107.25,63.9375,258.701995849609,4
333,92,630.535705566406,93.1071395874023,625.849731445312,208.249740600586,1
128,66,63.6428565979004,62.4642868041992,0.0,235.086044311523,4
351,77,81.3214263916016,542.142883300781,595.110595703125,607.573974609375,3
60,26,148.5,205.071426391602,131.563705444336,305.933898925781,4
96,143,147.321426391602,318.214294433594,0.0,364.973754882812,4
198,273,256.928558349609,322.928558349609,165.991592407227,331.696746826172,2
85,62,16.5,207.428573608398,106.972358703613,229.718780517578,4
87,126,243.964279174805,173.25,115.579330444336,246.894012451172,2
69,120,136.714279174805,88.3928604125977,238.536056518555,266.216156005859,4
67,35,0.0,200.357147216797,0.0,230.792236328125,4
405,92,76.6071395874023,137.892852783203,25.8209133148193,194.294860839844,4
156,93,142.607147216797,129.642852783203,199.189910888672,291.97900390625,4
72,58,0.0,0.0,0.0,315.594970703125,4
60,57,0.0,0.0,0.0,0.0,4
87,59,0.0,0.0,66.3966369628906,283.391387939453,4
84,87,0.0,7.07142877578735,66.3966369628906,3.22035670280457,4
103,67,0.0,157.928573608398,90.9879837036133,95.537254333496,4
68,38,0.0,143.785720825195,0.0,0.0,4
195,145,49.5,175.607147216797,168.450714111328,359.606506347656,4
138,95,156.75,152.035720825195,205.337738037109,254.408187866211,4
97,36,62.4642868041992,21.2142848968506,120.497596740723,250.114379882812,4
256,152,122.571426391602,42.4285697937012,157.384613037109,162.091293334961,4
254,100,82.5,62.4642868041992,0.0,193.221405029297,4
151,63,50.6785697937012,611.678588867188,667.655029296875,660.173156738281,3
421,88,594.0,0.0,622.161071777344,0.0,1
80,240,0.0,156.75,111.890625,257.628540039062,4
405,123,616.392883300781,114.321426391602,673.802856445312,194.294860839844,1
286,146,0.0,58.9285697937012,36.887020111084,285.538299560547,4
366,83,606.964294433594,76.6071395874023,693.475952148438,0.0,1
472,201,148.5,0.0,150.007217407227,238.306396484375,4
87,60,23.5714282989502,0.0,86.069709777832,132.034622192383,4
119,36,37.7142868041992,0.0,73.774040222168,312.374603271484,4
440,108,1.17857146263123,535.071411132812,654.129821777344,633.336853027344,3
483,111,638.785705566406,69.5357131958008,666.425476074219,301.640075683594,1
251,150,87.2142868041992,0.0,183.205535888672,300.566619873047,4
63,90,0.0,0.0,141.400238037109,0.0,4
316,112,68.3571395874023,55.3928565979004,0.0,105.198318481445,4
168,51,4.7142858505249,3.53571438789368,111.890625,300.566619873047,4
258,80,161.464279174805,115.5,68.8557662963867,165.311645507812,4
317,135,38.8928565979004,716.571411132812,682.409851074219,728.874084472656,3
282,211,327.642852783203,301.714294433594,300.014434814453,272.656860351562,2
197,99,128.464279174805,0.0,84.8401412963867,171.752365112305,4
392,116,74.25,175.607147216797,24.5913467407227,63.333683013916,4
270,126,0.0,627.0,608.635803222656,684.862548828125,3
188,94,522.107116699219,0.0,714.378601074219,165.311645507812,1
292,158,0.0,143.785720825195,253.290863037109,326.329498291016,4
119,51,63.6428565979004,248.678573608398,220.092544555664,305.933898925781,4
60,8,67.1785736083984,0.0,45.4939918518066,242.600204467773,4
61,176,0.0,155.571426391602,19.6730766296387,234.012588500977,4
112,64,84.8571395874023,0.0,118.038459777832,278.024139404297,4
130,41,87.2142868041992,47.1428565979004,0.0,222.204620361328,4
183,100,100.178573608398,0.0,0.0,307.007354736328,4
75,21,49.5,0.0,36.887020111084,278.024139404297,4
309,110,143.785720825195,0.0,94.6766815185547,0.0,4
176,66,599.892883300781,0.0,704.542053222656,209.323196411133,1
62,60,117.857139587402,1.17857146263123,35.6574516296387,262.995788574219,4
207,136,64.8214263916016,0.0,52.871395111084,255.481643676758,4
96,56,107.25,0.0,25.8209133148193,241.526763916016,4
239,120,14.1428575515747,586.928588867188,654.129821777344,677.348388671875,3
154,142,0.0,106.071426391602,154.925476074219,79.4354705810547,4
106,65,81.3214263916016,0.0,1.22956728935242,265.142700195312,4
112,20,12.9642858505249,0.0,1.22956728935242,256.555084228516,4
309,93,575.142883300781,86.0357131958008,745.117797851562,283.391387939453,1
145,50,0.0,27.1071434020996,167.221160888672,251.18782043457,4
158,30,0.0,0.0,0.0,288.758666992188,4
60,90,0.0,0.0,73.774040222168,164.238189697266,4
231,197,241.607147216797,245.142852783203,238.536056518555,297.346282958984,2
166,79,572.785705566406,170.892852783203,697.164672851562,192.14794921875,1
121,37,0.0,101.357139587402,0.0,285.538299560547,4
334,71,588.107116699219,106.071426391602,673.802856445312,298.419738769531,1
67,17,110.785713195801,132.0,44.2644233703613,226.498428344727,4
329,71,603.428588867188,218.035720825195,591.421875,213.617004394531,1
275,138,170.892852783203,23.5714282989502,185.664657592773,294.125915527344,4
176,140,387.75,392.464294433594,309.850952148438,301.640075683594,2
357,119,137.892852783203,226.285720825195,72.5444717407227,340.284362792969,4
241,137,110.785713195801,123.75,76.233169555664,133.10807800293,4
473,117,618.75,167.357147216797,627.079345703125,0.0,1
269,141,0.0,0.0,145.088943481445,172.825805664062,4
94,69,0.0,155.571426391602,130.334136962891,232.93913269043,4
116,50,0.0,0.0,65.1670684814453,74.0682067871094,4
269,134,0.0,262.821441650391,0.0,296.272827148438,4
112,197,243.964279174805,318.214294433594,238.536056518555,400.397705078125,2
424,129,143.785720825195,133.178573608398,0.0,266.216156005859,4
553,135,609.321411132812,103.714286804199,625.849731445312,61.1867790222168,1
100,118,124.928573608398,16.5,68.8557662963867,210.396636962891,4
283,136,29.4642848968506,0.0,132.793273925781,290.905548095703,4
537,140,251.035720825195,91.9285736083984,68.8557662963867,278.024139404297,2
226,106,0.0,387.75,646.752380371094,635.483764648438,3
89,37,35.3571434020996,0.0,30.7391834259033,0.0,4
287,179,12.9642858505249,144.964279174805,129.104568481445,279.097595214844,4
426,125,0.0,23.5714282989502,113.120193481445,130.961181640625,4
65,70,0.0,0.0,57.789665222168,44.0115432739258,4
337,102,71.8928604125977,691.821411132812,499.204315185547,722.433349609375,3
195,84,549.214294433594,93.1071395874023,677.491577148438,363.900329589844,1
140,65,0.0,427.821441650391,631.997619628906,622.602294921875,3
381,116,0.0,708.321411132812,574.207946777344,754.636962890625,3
210,153,66.0,161.464279174805,89.758415222168,328.476379394531,4
61,52,0.0,0.0,118.038459777832,91.2434387207031,4
117,108,73.0714263916016,135.535720825195,0.0,309.154235839844,4
231,87,507.964294433594,0.0,614.783630371094,217.91081237793,1
622,1023,312.321441650391,335.892852783203,347.967559814453,232.93913269043,2
196,107,99.0,89.5714263916016,140.170669555664,84.8027267456055,4
108,82,0.0,0.0,225.010818481445,0.0,4
127,33,95.4642868041992,29.4642848968506,76.233169555664,284.46484375,4
63,58,33.0,0.0,25.8209133148193,179.266525268555,4
327,67,578.678588867188,10.6071424484253,561.912231445312,0.0,1
252,138,551.571411132812,104.892860412598,677.491577148438,223.278076171875,1
181,223,168.535720825195,268.714294433594,154.925476074219,338.137451171875,4
71,136,0.0,0.0,0.0,314.521514892578,4
66,60,0.0,0.0,0.0,205.029388427734,4
169,82,5.89285707473755,227.464279174805,603.717529296875,579.664245605469,3
168,86,71.8928604125977,29.4642848968506,89.758415222168,279.097595214844,4
131,494,23.5714282989502,0.0,89.758415222168,185.707244873047,4
128,85,47.1428565979004,195.642852783203,147.548080444336,80.508918762207,4
134,346,0.0,173.25,223.78125,255.481643676758,4
174,76,35.3571434020996,146.142852783203,86.069709777832,270.509979248047,4
104,117,136.714279174805,0.0,82.3810119628906,327.402923583984,4
169,90,182.678573608398,234.535720825195,0.0,265.142700195312,4
165,87,273.428558349609,253.392852783203,0.0,286.611755371094,2
60,24,0.0,76.6071395874023,108.201919555664,231.865692138672,4
328,173,231.0,236.892852783203,103.283653259277,433.674713134766,2
82,10,0.0,240.428573608398,154.925476074219,303.786987304688,4
219,99,96.6428604125977,0.0,25.8209133148193,0.0,4
82,255,0.0,222.75,142.629806518555,265.142700195312,4
79,248,156.75,317.035705566406,218.862976074219,374.634826660156,4
185,108,503.25,195.642852783203,666.425476074219,279.097595214844,1
205,117,143.785720825195,176.785720825195,239.765625,0.0,4
190,77,76.6071395874023,0.0,137.711532592773,353.165802001953,4
133,77,533.892883300781,272.25,675.032470703125,253.334732055664,1
134,233,245.142852783203,208.607147216797,167.221160888672,304.860443115234,2
123,80,7.07142877578735,107.25,0.0,241.526763916016,4
157,207,74.25,0.0,179.516830444336,196.441757202148,4
97,70,0.0,76.6071395874023,126.645431518555,0.0,4
75,39,0.0,0.0,196.730773925781,0.0,4
87,137,95.4642868041992,0.0,84.8401412963867,237.232955932617,4
218,108,41.25,0.0,56.5600967407227,228.645324707031,4
315,139,183.857147216797,0.0,165.991592407227,217.91081237793,4
190,106,94.2857131958008,119.035713195801,183.205535888672,49.3788032531738,4
72,155,0.0,0.0,135.252410888672,162.091293334961,4
127,72,4.7142858505249,147.321426391602,169.680282592773,344.578186035156,4
93,77,75.4285736083984,0.0,103.283653259277,297.346282958984,4
75,104,198.0,241.607147216797,0.0,135.254989624023,4
83,62,93.1071395874023,0.0,196.730773925781,275.877227783203,4
101,87,50.6785697937012,0.0,206.567306518555,297.346282958984,4
98,32,73.0714263916016,166.178573608398,0.0,124.520462036133,4
191,123,110.785713195801,0.0,177.057693481445,333.843658447266,4
243,143,50.6785697937012,163.821426391602,222.551681518555,169.605453491211,4
185,58,0.0,150.857147216797,254.520431518555,138.475341796875,4
83,182,0.0,198.0,0.0,12.8814268112183,4
60,69,0.0,0.0,9.83653831481934,286.611755371094,4
219,143,102.535713195801,440.785705566406,676.262023925781,673.054565429688,3
222,221,153.214279174805,273.428558349609,141.400238037109,283.391387939453,4
198,90,64.8214263916016,196.821426391602,0.0,317.741882324219,4
136,22,68.3571395874023,0.0,132.793273925781,296.272827148438,4
113,56,0.0,174.428573608398,226.240386962891,193.221405029297,4
247,80,76.6071395874023,165.0,157.384613037109,127.740821838379,4
204,118,36.5357131958008,57.75,0.0,289.832122802734,4
115,183,0.0,5.89285707473755,0.0,269.4365234375,4
192,151,110.785713195801,233.357147216797,98.3653869628906,19.3221397399902,4
190,104,116.678573608398,35.3571434020996,173.368988037109,119.153198242188,4
313,143,163.821426391602,157.928573608398,0.0,285.538299560547,4
312,106,109.607139587402,43.6071434020996,161.073318481445,207.176284790039,4
311,134,86.0357131958008,55.3928565979004,227.469955444336,345.651611328125,4
303,109,139.071426391602,585.75,689.787231445312,649.438598632812,3
136,79,16.5,432.535705566406,571.748779296875,631.18994140625,3
226,75,140.25,538.607116699219,571.748779296875,595.765991210938,3
107,39,50.6785697937012,0.0,0.0,168.531997680664,4
340,83,575.142883300781,41.25,650.441101074219,214.690444946289,1
209,81,127.285713195801,74.25,132.793273925781,193.221405029297,4
211,127,0.0,134.357147216797,154.925476074219,227.571884155273,4
389,86,135.535720825195,618.75,534.861755371094,768.591796875,3
110,115,1.17857146263123,0.0,0.0,194.294860839844,4
100,52,0.0,0.0,97.1358184814453,247.967468261719,4
287,137,57.75,0.0,111.890625,101.977966308594,4
242,90,9.4285717010498,635.25,602.487976074219,682.715637207031,3
323,68,466.714294433594,100.178573608398,552.075744628906,239.379852294922,1
125,100,116.678573608398,73.0714263916016,211.485580444336,318.815307617188,4
119,76,469.071441650391,111.964286804199,659.048095703125,299.493194580078,1
107,44,0.0,115.5,28.2800483703613,0.0,4
122,72,108.428573608398,113.142860412598,72.5444717407227,296.272827148438,4
284,77,82.5,216.857147216797,148.777648925781,243.67366027832,4
180,120,261.642852783203,295.821441650391,320.917053222656,269.4365234375,2
176,73,70.7142868041992,0.0,150.007217407227,238.306396484375,4
290,72,82.5,17.6785717010498,79.921875,191.074508666992,4
242,106,0.0,174.428573608398,178.287261962891,217.91081237793,4
164,80,44.7857131958008,0.0,93.4471130371094,165.311645507812,4
235,74,163.821426391602,140.25,189.353363037109,326.329498291016,4
67,87,0.0,58.9285697937012,184.435089111328,111.639038085938,4
159,74,56.5714302062988,78.9642868041992,140.170669555664,210.396636962891,4
187,94,64.8214263916016,500.892852783203,700.853393554688,585.031494140625,3
280,158,133.178573608398,35.3571434020996,136.481964111328,225.42497253418,4
365,180,35.3571434020996,242.785720825195,66.3966369628906,215.763900756836,4
141,77,128.464279174805,262.821441650391,122.956733703613,312.374603271484,4
180,285,177.964279174805,361.821441650391,195.501205444336,363.900329589844,4
130,51,0.0,0.0,92.217544555664,0.0,4
131,255,260.464294433594,342.964294433594,164.762023925781,359.606506347656,2
510,134,629.357116699219,48.3214302062988,506.581726074219,27.9097595214844,1
402,136,67.1785736083984,291.107147216797,63.9375,328.476379394531,4
447,92,239.25,56.5714302062988,137.711532592773,307.007354736328,2
288,65,62.4642868041992,644.678588867188,493.056488037109,720.286437988281,3
78,18,0.0,0.0,86.069709777832,194.294860839844,4
179,131,113.142860412598,0.0,221.322113037109,224.351516723633,4
62,99,9.4285717010498,115.5,68.8557662963867,289.832122802734,4
245,76,535.071411132812,0.0,577.896606445312,99.8310623168945,1
169,105,1.17857146263123,91.9285736083984,14.754807472229,313.448059082031,4
62,13,35.3571434020996,0.0,0.0,241.526763916016,4
129,68,0.0,188.571426391602,174.598556518555,287.685211181641,4
93,41,0.0,135.535720825195,168.450714111328,275.877227783203,4
150,154,140.25,251.035720825195,120.497596740723,334.917114257812,4
467,305,309.964294433594,347.678558349609,213.944717407227,361.75341796875,2
179,178,228.642852783203,332.357147216797,159.84375,352.092346191406,2
165,57,0.0,136.714279174805,95.90625,103.051414489746,4
64,167,96.6428604125977,0.0,28.2800483703613,0.0,4
141,152,60.1071434020996,188.571426391602,222.551681518555,0.0,4
249,117,551.571411132812,132.0,726.674255371094,258.701995849609,1
401,139,0.0,113.142860412598,175.828125,169.605453491211,4
209,127,0.0,223.928573608398,57.789665222168,82.6558227539062,4
226,245,265.178558349609,338.25,209.026443481445,384.2958984375,2
243,108,67.1785736083984,201.535720825195,140.170669555664,285.538299560547,4
186,86,537.428588867188,37.7142868041992,659.048095703125,0.0,1
103,42,0.0,0.0,114.349761962891,185.707244873047,4
85,51,87.2142868041992,210.964279174805,0.0,223.278076171875,4
145,110,82.5,182.678573608398,169.680282592773,366.047210693359,4
284,121,108.428573608398,0.0,47.953125,285.538299560547,4
107,51,0.0,82.5,147.548080444336,79.4354705810547,4
146,127,91.9285736083984,0.0,158.614181518555,86.9496307373047,4
110,137,0.0,28.2857151031494,95.90625,0.0,4
233,184,639.964294433594,102.535713195801,617.242797851562,268.363067626953,1
89,30,0.0,27.1071434020996,0.0,61.1867790222168,4
318,140,132.0,9.4285717010498,0.0,290.905548095703,4
234,107,58.9285697937012,192.107147216797,221.322113037109,174.972717285156,4
168,90,58.9285697937012,0.0,61.4783668518066,357.459594726562,4
212,62,53.0357131958008,179.142852783203,186.894226074219,243.67366027832,4
160,78,503.25,106.071426391602,548.387023925781,317.741882324219,1
68,35,88.3928604125977,0.0,0.0,211.470092773438,4
371,75,74.25,111.964286804199,143.859375,155.650573730469,4
431,167,96.6428604125977,156.75,164.762023925781,266.216156005859,4
168,37,107.25,173.25,179.516830444336,112.71248626709,4
186,132,53.0357131958008,69.5357131958008,0.0,198.588668823242,4
218,96,133.178573608398,126.107139587402,271.734375,237.232955932617,4
156,93,0.0,168.535720825195,209.026443481445,120.226654052734,4
100,79,0.0,73.0714263916016,61.4783668518066,298.419738769531,4
224,139,154.392852783203,212.142852783203,184.435089111328,297.346282958984,4
197,137,100.178573608398,161.464279174805,0.0,264.069244384766,4
89,92,97.8214263916016,177.964279174805,0.0,182.486877441406,4
383,156,57.75,186.214279174805,282.800476074219,199.662124633789,4
290,202,0.0,0.0,147.548080444336,235.086044311523,4
180,221,259.285705566406,339.428558349609,218.862976074219,291.97900390625,2
272,97,0.0,597.535705566406,638.145446777344,671.981140136719,3
76,29,0.0,0.0,0.0,165.311645507812,4
71,111,71.8928604125977,56.5714302062988,0.0,172.825805664062,4
420,133,93.1071395874023,195.642852783203,81.1514434814453,52.5991592407227,4
408,86,588.107116699219,101.357139587402,687.328125,21.4690456390381,1
327,103,48.3214302062988,0.0,253.290863037109,0.0,4
176,85,33.0,240.428573608398,186.894226074219,67.6274948120117,4
186,73,91.9285736083984,106.071426391602,185.664657592773,86.9496307373047,4
65,13,0.0,0.0,127.875,111.639038085938,4
95,90,41.25,0.0,132.793273925781,191.074508666992,4
113,109,489.107147216797,130.821426391602,708.230773925781,187.854141235352,1
231,172,7.07142877578735,192.107147216797,189.353363037109,226.498428344727,4
111,74,27.1071434020996,159.107147216797,0.0,255.481643676758,4
345,218,119.035713195801,136.714279174805,0.0,307.007354736328,4
231,133,86.0357131958008,0.0,199.189910888672,298.419738769531,4
328,172,591.642883300781,176.785720825195,671.34375,0.0,1
189,103,61.2857131958008,188.571426391602,217.633407592773,199.662124633789,4
333,103,57.75,227.464279174805,201.649032592773,185.707244873047,4
112,41,12.9642858505249,115.5,66.3966369628906,158.870941162109,4
91,40,0.0,222.75,0.0,242.600204467773,4
112,144,273.428558349609,308.785705566406,252.061294555664,285.538299560547,2
192,140,589.285705566406,100.178573608398,705.771606445312,238.306396484375,1
141,185,163.821426391602,259.285705566406,134.022842407227,364.973754882812,4
213,99,54.2142868041992,192.107147216797,50.4122581481934,308.080810546875,4
207,121,0.0,104.892860412598,39.3461532592773,307.007354736328,4
77,53,36.5357131958008,155.571426391602,82.3810119628906,223.278076171875,4
60,17,0.0,16.5,94.6766815185547,230.792236328125,4
299,95,543.321411132812,0.0,665.195922851562,208.249740600586,1
351,56,0.0,50.6785697937012,4.91826915740967,330.623291015625,4
74,51,35.3571434020996,0.0,59.019229888916,323.109130859375,4
204,114,81.3214263916016,183.857147216797,118.038459777832,338.137451171875,4
64,114,114.321426391602,0.0,0.0,215.763900756836,4
157,91,569.25,129.642852783203,730.362976074219,372.487945556641,1
358,117,140.25,129.642852783203,31.96875,359.606506347656,4
136,99,91.9285736083984,63.6428565979004,0.0,315.594970703125,4
102,34,111.964286804199,127.285713195801,238.536056518555,308.080810546875,4
287,100,113.142860412598,207.428573608398,0.0,238.306396484375,4
86,62,0.0,88.3928604125977,173.368988037109,313.448059082031,4
312,163,134.357147216797,215.678573608398,106.972358703613,288.758666992188,4
308,265,262.821441650391,361.821441650391,306.162261962891,360.679962158203,2
220,114,56.5714302062988,278.142852783203,237.306488037109,42.9380912780762,4
192,73,109.607139587402,141.428573608398,90.9879837036133,234.012588500977,4
571,201,141.428573608398,153.214279174805,142.629806518555,0.0,4
298,154,106.071426391602,300.535705566406,261.897827148438,294.125915527344,4
232,97,562.178588867188,28.2857151031494,663.966369628906,138.475341796875,1
188,95,41.25,175.607147216797,0.0,295.199371337891,4
200,118,546.857116699219,0.0,676.262023925781,297.346282958984,1
110,53,0.0,70.7142868041992,215.174285888672,243.67366027832,4
293,121,137.892852783203,89.5714263916016,279.111785888672,297.346282958984,4
411,98,631.714294433594,234.535720825195,612.324523925781,54.7460632324219,1
94,344,0.0,90.75,196.730773925781,234.012588500977,4
447,155,143.785720825195,691.821411132812,532.402648925781,767.518371582031,3
80,76,0.0,54.2142868041992,73.774040222168,269.4365234375,4
281,287,68.3571395874023,254.571426391602,185.664657592773,0.0,4
64,44,0.0,0.0,0.0,64.4071350097656,4
62,75,49.5,183.857147216797,287.71875,151.35676574707,4
262,112,84.8571395874023,90.75,220.092544555664,181.413436889648,4
131,107,484.392852783203,175.607147216797,720.526428222656,0.0,1
415,209,189.75,183.857147216797,244.683898925781,188.927597045898,4
140,96,0.0,149.678573608398,175.828125,314.521514892578,4
105,77,520.928588867188,0.0,746.347351074219,235.086044311523,1
250,255,154.392852783203,365.357147216797,217.633407592773,344.578186035156,4
76,366,0.0,0.0,86.069709777832,303.786987304688,4
126,76,0.0,196.821426391602,47.953125,161.017837524414,4
72,58,0.0,150.857147216797,19.6730766296387,305.933898925781,4
233,90,0.0,0.0,252.061294555664,312.374603271484,4
237,103,569.25,168.535720825195,625.849731445312,212.543548583984,1
257,171,89.5714263916016,67.1785736083984,136.481964111328,374.634826660156,4
258,124,160.285720825195,107.25,19.6730766296387,285.538299560547,4
94,127,0.0,210.964279174805,0.0,320.962219238281,4
70,59,21.2142848968506,231.0,99.594955444336,327.402923583984,4
111,87,0.0,0.0,0.0,0.0,4
234,95,0.0,552.75,628.308898925781,636.557189941406,3
95,36,0.0,201.535720825195,186.894226074219,165.311645507812,4
454,136,113.142860412598,596.357116699219,525.025268554688,764.298034667969,3
74,159,69.5357131958008,0.0,175.828125,236.15950012207,4
280,89,117.857139587402,282.857147216797,0.0,159.944381713867,4
307,70,1.17857146263123,209.785720825195,12.2956733703613,257.628540039062,4
72,52,0.0,41.25,223.78125,0.0,4
